species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;1.0;41.8;19.4;0.441;0.486;1.0;
1.0;2.0;38.1;16.5;0.441;0.312;2.0;
1.0;1.0;35.1;19.4;0.356;0.417;1.0;
1.0;3.0;44.1;19.7;0.407;0.472;1.0;
1.0;1.0;33.5;19.0;0.305;0.25;2.0;
1.0;3.0;39.7;17.9;0.356;0.431;1.0;
1.0;1.0;38.5;17.9;0.305;0.174;2.0;
1.0;2.0;35.5;16.2;0.39;0.181;2.0;
1.0;1.0;39.3;20.6;0.305;0.264;1.0;
1.0;2.0;40.5;17.9;0.254;0.139;2.0;
1.0;3.0;40.8;18.9;0.61;0.444;1.0;
1.0;2.0;38.2;20.0;0.305;0.333;1.0;
1.0;3.0;39.5;16.7;0.102;0.153;2.0;
1.0;2.0;35.0;17.9;0.305;0.208;2.0;
1.0;3.0;35.6;17.5;0.322;0.132;2.0;
1.0;2.0;41.3;21.1;0.39;0.472;1.0;
1.0;1.0;37.7;19.8;0.441;0.222;1.0;
1.0;3.0;36.0;18.5;0.237;0.111;2.0;
1.0;1.0;38.8;17.6;0.322;0.16;2.0;
1.0;3.0;38.9;18.8;0.305;0.25;2.0;
1.0;2.0;40.1;18.9;0.271;0.444;1.0;
1.0;1.0;39.7;18.4;0.305;0.333;1.0;
1.0;1.0;36.2;17.2;0.254;0.125;2.0;
1.0;2.0;37.7;16.0;0.186;0.104;2.0;
1.0;1.0;41.5;18.3;0.39;0.444;1.0;
1.0;1.0;42.1;19.1;0.39;0.361;1.0;
1.0;2.0;36.4;17.1;0.203;0.042;2.0;
1.0;3.0;38.1;17.6;0.254;0.201;2.0;
1.0;2.0;41.6;18.0;0.339;0.347;1.0;
1.0;1.0;41.4;18.5;0.508;0.326;1.0;
1.0;3.0;36.8;18.5;0.356;0.222;2.0;
1.0;3.0;37.5;18.5;0.458;0.493;1.0;
1.0;2.0;42.0;19.5;0.475;0.375;1.0;
1.0;3.0;40.6;17.2;0.254;0.215;1.0;
1.0;2.0;37.6;17.0;0.22;0.25;2.0;
1.0;3.0;36.0;17.1;0.254;0.278;2.0;
1.0;2.0;38.8;17.2;0.136;0.306;1.0;
1.0;3.0;37.6;19.3;0.153;0.167;2.0;
1.0;3.0;43.2;18.5;0.339;0.389;1.0;
1.0;3.0;36.4;17.0;0.39;0.174;2.0;
1.0;1.0;35.2;15.9;0.237;0.097;2.0;
1.0;2.0;38.2;18.1;0.22;0.347;1.0;
1.0;2.0;39.7;18.9;0.203;0.236;1.0;
1.0;3.0;39.5;17.8;0.271;0.167;2.0;
1.0;3.0;38.8;20.0;0.305;0.347;1.0;
1.0;3.0;39.6;18.1;0.237;0.486;1.0;
1.0;1.0;43.1;19.2;0.424;0.222;1.0;
1.0;1.0;42.8;18.5;0.39;0.431;1.0;
1.0;1.0;36.7;19.3;0.356;0.208;2.0;
1.0;1.0;34.4;18.4;0.203;0.174;2.0;
1.0;3.0;36.0;17.9;0.305;0.208;2.0;
1.0;3.0;42.3;21.2;0.322;0.403;1.0;
1.0;3.0;41.5;18.5;0.492;0.361;1.0;
1.0;1.0;36.6;17.8;0.22;0.278;2.0;
1.0;2.0;37.7;18.7;0.136;0.25;1.0;
1.0;3.0;41.1;18.1;0.559;0.444;1.0;
1.0;2.0;45.6;20.3;0.322;0.528;1.0;
1.0;3.0;38.1;18.6;0.305;0.278;2.0;
1.0;1.0;36.2;16.1;0.254;0.236;2.0;
1.0;1.0;40.6;19.0;0.458;0.361;1.0;
1.0;3.0;38.3;19.2;0.288;0.347;1.0;
1.0;3.0;32.1;15.5;0.271;0.097;2.0;
1.0;1.0;42.9;17.6;0.407;0.556;1.0;
1.0;3.0;37.0;16.5;0.22;0.194;2.0;
1.0;2.0;40.5;18.9;0.136;0.347;1.0;
1.0;1.0;38.9;17.8;0.153;0.257;2.0;
1.0;3.0;37.2;18.1;0.102;0.333;1.0;
1.0;3.0;39.0;18.7;0.22;0.264;1.0;
1.0;3.0;37.0;16.9;0.22;0.083;2.0;
1.0;1.0;35.9;16.6;0.305;0.097;2.0;
1.0;1.0;34.6;17.2;0.288;0.139;2.0;
1.0;1.0;42.5;20.7;0.424;0.5;1.0;
1.0;2.0;41.1;18.2;0.339;0.375;1.0;
2.0;3.0;51.3;19.9;0.441;0.278;1.0;
2.0;3.0;45.6;19.4;0.373;0.229;2.0;
2.0;3.0;45.7;17.3;0.356;0.25;2.0;
2.0;3.0;46.4;17.8;0.322;0.278;2.0;
2.0;3.0;52.0;18.1;0.492;0.375;1.0;
2.0;3.0;49.2;18.2;0.39;0.472;1.0;
2.0;3.0;50.5;19.6;0.492;0.375;1.0;
2.0;3.0;50.8;19.0;0.644;0.389;1.0;
2.0;3.0;50.7;19.7;0.525;0.375;1.0;
2.0;3.0;49.7;18.6;0.39;0.25;1.0;
2.0;3.0;51.3;19.2;0.356;0.264;1.0;
2.0;3.0;50.8;18.5;0.492;0.486;1.0;
2.0;3.0;48.1;16.4;0.458;0.174;2.0;
2.0;3.0;49.0;19.5;0.644;0.347;1.0;
2.0;3.0;50.9;17.9;0.407;0.271;2.0;
2.0;3.0;46.1;18.2;0.102;0.153;2.0;
2.0;3.0;51.5;18.7;0.254;0.153;1.0;
2.0;3.0;50.6;19.4;0.356;0.306;1.0;
2.0;3.0;42.5;17.3;0.254;0.181;2.0;
2.0;3.0;50.3;20.0;0.424;0.167;1.0;
2.0;3.0;50.2;18.7;0.441;0.299;2.0;
2.0;3.0;46.7;17.9;0.39;0.167;2.0;
2.0;3.0;53.5;19.9;0.559;0.5;1.0;
2.0;3.0;46.5;17.9;0.339;0.222;2.0;
2.0;3.0;46.0;18.9;0.39;0.403;2.0;
2.0;3.0;49.5;19.0;0.475;0.306;1.0;
2.0;3.0;52.0;19.0;0.424;0.403;1.0;
2.0;3.0;51.7;20.3;0.373;0.299;1.0;
2.0;3.0;42.5;16.7;0.254;0.181;2.0;
2.0;3.0;47.0;17.3;0.22;0.278;2.0;
2.0;3.0;47.6;18.3;0.39;0.319;2.0;
2.0;3.0;48.5;17.5;0.322;0.194;1.0;
2.0;3.0;42.4;17.3;0.153;0.25;2.0;
2.0;3.0;51.9;19.5;0.576;0.347;1.0;
3.0;2.0;48.4;14.4;0.525;0.535;2.0;
3.0;2.0;49.1;14.8;0.814;0.681;2.0;
3.0;2.0;48.7;15.7;0.61;0.736;1.0;
3.0;2.0;50.0;15.9;0.881;0.736;1.0;
3.0;2.0;45.2;15.8;0.729;0.722;1.0;
3.0;2.0;43.6;13.9;0.763;0.611;2.0;
3.0;2.0;50.5;15.9;0.898;0.75;1.0;
3.0;2.0;48.1;15.1;0.627;0.778;1.0;
3.0;2.0;50.4;15.3;0.881;0.792;1.0;
3.0;2.0;45.5;13.9;0.644;0.417;2.0;
3.0;2.0;47.4;14.6;0.678;0.562;2.0;
3.0;2.0;51.1;16.3;0.814;0.917;1.0;
3.0;2.0;42.8;14.2;0.627;0.556;2.0;
3.0;2.0;46.1;13.2;0.661;0.5;2.0;
3.0;2.0;47.5;15.0;0.78;0.625;2.0;
3.0;2.0;50.5;15.9;0.847;0.792;1.0;
3.0;2.0;46.2;14.9;0.831;0.722;1.0;
3.0;2.0;46.4;15.0;0.746;0.556;2.0;
3.0;2.0;49.8;16.8;0.983;0.833;1.0;
3.0;2.0;47.5;14.0;0.678;0.604;2.0;
3.0;2.0;48.5;15.0;0.797;0.597;2.0;
3.0;2.0;43.8;13.9;0.61;0.444;2.0;
3.0;2.0;44.9;13.3;0.695;0.667;2.0;
3.0;2.0;45.3;13.8;0.61;0.417;2.0;
3.0;2.0;45.5;13.7;0.712;0.542;2.0;
3.0;2.0;48.4;16.3;0.814;0.75;1.0;
3.0;2.0;47.6;14.5;0.729;0.75;1.0;
3.0;2.0;50.5;15.2;0.746;0.639;2.0;
3.0;2.0;49.2;15.2;0.831;1.0;1.0;
3.0;2.0;48.2;15.6;0.831;0.667;1.0;
3.0;2.0;59.6;17.0;0.983;0.931;1.0;
3.0;2.0;49.6;16.0;0.898;0.833;1.0;
3.0;2.0;42.0;13.5;0.644;0.403;2.0;
3.0;2.0;44.9;13.8;0.678;0.569;2.0;
3.0;2.0;46.8;16.1;0.729;0.778;1.0;
3.0;2.0;49.1;15.0;0.949;0.778;1.0;
3.0;2.0;51.1;16.5;0.898;0.708;1.0;
3.0;2.0;44.0;13.6;0.61;0.458;2.0;
3.0;2.0;47.5;14.2;0.627;0.528;2.0;
3.0;2.0;50.8;17.3;0.949;0.806;1.0;
3.0;2.0;50.4;15.7;0.847;0.847;1.0;
3.0;2.0;49.8;15.9;0.966;0.903;1.0;
3.0;2.0;47.3;15.3;0.847;0.708;1.0;
3.0;2.0;45.7;13.9;0.712;0.472;2.0;
3.0;2.0;51.3;14.2;0.78;0.722;1.0;
3.0;2.0;45.3;13.7;0.644;0.444;2.0;
3.0;2.0;47.2;13.7;0.712;0.618;2.0;
3.0;2.0;45.2;16.4;0.864;0.903;1.0;
3.0;2.0;45.8;14.2;0.797;0.556;2.0;
3.0;2.0;40.9;13.7;0.712;0.542;2.0;
3.0;2.0;48.8;16.2;0.847;0.917;1.0;
3.0;2.0;46.5;13.5;0.644;0.514;2.0;
3.0;2.0;45.4;14.6;0.661;0.583;2.0;
3.0;2.0;49.9;16.1;0.695;0.75;1.0;
3.0;2.0;55.9;17.0;0.949;0.806;1.0;
3.0;2.0;50.1;15.0;0.898;0.639;1.0;
3.0;2.0;46.3;15.8;0.729;0.653;1.0;
3.0;2.0;43.2;14.5;0.61;0.486;2.0;
3.0;2.0;42.6;13.7;0.695;0.625;2.0;
